study_hours,attendance,previous_marks,assignments,sleep_hours,final_marks
1,60,45,4,5,48
2,65,50,5,6,52
2,70,55,6,6,58
3,72,60,6,7,62
3,75,62,7,7,65
4,78,65,7,7,68
4,80,68,8,8,72
5,82,70,8,7,75
5,85,73,9,8,78
6,87,75,9,8,82
6,90,78,10,8,85
7,92,80,10,7,88
7,94,83,10,8,91
8,95,85,10,8,94
8,96,88,10,9,96
9,97,90,10,8,98
1,55,40,3,5,42
2,62,48,4,5,50
3,68,55,5,6,57
4,74,61,6,6,64
5,79,67,7,7,71
6,84,74,8,8,80
7,89,79,9,8,87
8,93,86,10,9,95
2,58,46,4,6,47
3,66,52,5,6,55
4,76,64,7,7,67
5,81,69,8,7,74
6,88,77,9,8,83
7,91,82,10,8,90
8,98,92,10,9,97
